Course #,Sec,Course Title,Credits,Faculty,DAYS,Start Time,End Time,Room,Remarks
IELP095,1,Intermediate English,6,Likaa AbouHadir,M T W R,8:00:00 AM,1:50:00 PM,F103,
IELP095,2,Intermediate English,6,Hoda Arkadan,M T W R,8:00:00 AM,1:50:00 PM,F207,
IELP100,1,Advanced English,3,Naziha Shamseddine,M W T R,9:30:00 AM,12:15:00 PM,F206,
IELP100,2,Advanced English,3,Dina Baba,M W T R,9:30:00 AM,12:15:00 PM,F205,
MATH185,1,Introduction to Probability and Statistics,3,Lama Abdallah,T R,1:30:00 PM,2:45:00 PM,H003,Remedial Course
MATH189,1,Fundamentals of Algebra,3,Lama Abdallah,T R,12:00:00 PM,1:15:00 PM,H003,Freshman and Remedial Course
MATH190,1,Calculus I,3,Rawan Abdallah,T R,12:00:00 PM,1:15:00 PM,H102,Freshman and Remedial Course
MATH191,1,Calculus II,3,May Abdallah,M W,8:00:00 AM,9:15:00 AM,H003,Freshman and Remedial Course
MATH207,1,College Algebra,3,May Abdallah,M W,9:30:00 AM,10:45:00 AM,H003,
MATH215,1,Calculus III,3,Lara AbouOrm,M W,8:00:00 AM,9:15:00 AM,H102,
MATH215,2,Calculus III,3,Khaled Abou Alfa,T R,8:00:00 AM,9:15:00 AM,H103,
MATH215,3,Calculus III,3,Khaled Abou Alfa,T R,9:30:00 AM,10:45:00 AM,H103,
MATH215,4,Calculus III,3,Rawan Abdallah,T R,1:30:00 PM,2:45:00 PM,H102,
MATH311,1,Linear Algebra,3,Elissar Nasreddine,M W,8:00:00 AM,9:15:00 AM,H104,
MATH314,1,Ordinary Differential Equations,3,Elissar Nasreddine,M W,9:30:00 AM,10:45:00 AM,H204,
MATH314,2,Ordinary Differential Equations,3,Elissar Nasreddine,M W,11:00:00 AM,12:15:00 PM,H104,
MATH314,3,Ordinary Differential Equations,3,Lara AbouOrm,T R,9:30:00 AM,10:45:00 AM,H102,
MATH351,1,Probability and Statistics,3,Lara AbouOrm,M W,12:30:00 PM,1:45:00 PM,H102,
MATH421,1,Numerical Analysis,3,May Abdallah,M W,12:30:00 PM,1:45:00 PM,C Lab IV,
